Object Name,X,Y,Z
Sphere,-21.917922973632812,16.06212043762207,0.021611861884593964
Sphere.003,-20.85816764831543,16.28985595703125,0.021611861884593964
Sphere.006,-19.802457809448242,16.171796798706055,0.021611861884593964
Sphere.009,-19.00288963317871,15.440091133117676,0.021611861884593964
Sphere.012,-18.239404678344727,14.669878005981445,0.021611861884593964
Sphere.015,-17.50906753540039,13.86819839477539,0.021611861884593964
Sphere.018,-16.821237564086914,13.029847145080566,0.021611861884593964
Sphere.021,-16.194425582885742,12.145153045654297,0.021611861884593964
Sphere.024,-15.646692276000977,11.209299087524414,0.021611861884593964
Sphere.027,-15.095659255981445,10.275432586669922,0.021611861884593964
Sphere.030,-14.406503677368164,9.441865921020508,0.021611861884593964
Sphere.033,-13.473197937011719,8.907275199890137,0.021611861884593964
Sphere.036,-12.399873733520508,8.80010986328125,0.021611861884593964
Sphere.039,-11.333433151245117,8.987499237060547,0.021611861884593964
Sphere.042,-10.304082870483398,9.32780933380127,0.021611861884593964
Sphere.045,-9.313461303710938,9.768731117248535,0.021611861884593964
Sphere.048,-8.344030380249023,10.254950523376465,0.021611861884593964
Sphere.051,-7.384773254394531,10.76101016998291,0.021611861884593964
Sphere.054,-6.430661201477051,11.276721000671387,0.021611861884593964
Sphere.057,-5.478178977966309,11.795437812805176,0.021611861884593964
Sphere.060,-4.524090766906738,12.31119155883789,0.021611861884593964
Sphere.063,-3.564349412918091,12.816325187683105,0.021611861884593964
Sphere.066,-2.5929195880889893,13.298550605773926,0.021611861884593964
Sphere.069,-1.6123344898223877,13.761927604675293,0.021611861884593964
Sphere.072,-0.6140359044075012,14.185145378112793,0.021611861884593964
Sphere.075,0.43428492546081543,14.453509330749512,0.021611861884593964
Sphere.078,1.5173060894012451,14.491958618164062,0.021611861884593964
Sphere.081,2.6018149852752686,14.480767250061035,0.021611861884593964
Sphere.084,3.686213493347168,14.461675643920898,0.021611861884593964
Sphere.087,4.7704362869262695,14.434415817260742,0.021611861884593964
Sphere.090,5.854321479797363,14.39612865447998,0.021611861884593964
Sphere.093,6.937344551086426,14.338754653930664,0.021611861884593964
Sphere.096,8.014298439025879,14.215987205505371,0.021611861884593964
Sphere.099,8.98884391784668,13.776113510131836,0.021611861884593964
Sphere.102,9.771829605102539,13.026227951049805,0.021611861884593964
Sphere.105,10.310369491577148,12.090413093566895,0.021611861884593964
Sphere.108,10.654489517211914,11.062599182128906,0.021611861884593964
Sphere.111,10.871820449829102,10.001300811767578,0.021611861884593964
Sphere.114,10.903451919555664,8.918231964111328,0.021611861884593964
Sphere.117,10.771524429321289,7.843005180358887,0.021611861884593964
Sphere.120,10.33775520324707,6.8587188720703125,0.021611861884593964
Sphere.123,9.62745475769043,6.040917873382568,0.021611861884593964
Sphere.126,8.827848434448242,5.308499336242676,0.021611861884593964
Sphere.129,7.997015953063965,4.61138916015625,0.021611861884593964
Sphere.132,7.169217109680176,3.9107284545898438,0.021611861884593964
Sphere.135,6.420355796813965,3.1292102336883545,0.021611861884593964
Sphere.138,5.9157915115356445,2.172788143157959,0.021611861884593964
Sphere.141,5.498049736022949,1.1752387285232544,0.021611861884593964
Sphere.144,4.552529335021973,1.3010387420654297,0.021611861884593964
Sphere.147,4.581713676452637,2.325012445449829,0.021611861884593964
Sphere.150,5.088089942932129,3.2835583686828613,0.021611861884593964
Sphere.153,5.559496879577637,4.257301330566406,0.021611861884593964
Sphere.156,5.813475608825684,5.311138153076172,0.021611861884593964
Sphere.159,6.070183753967285,6.364314079284668,0.021611861884593964
Sphere.162,6.475394248962402,7.369492053985596,0.021611861884593964
Sphere.165,6.948868751525879,8.345234870910645,0.021611861884593964
Sphere.168,7.403153419494629,9.330061912536621,0.021611861884593964
Sphere.171,7.894444465637207,10.29675006866455,0.021611861884593964
Sphere.174,8.486532211303711,11.204177856445312,0.021611861884593964
Sphere.177,8.059107780456543,12.107423782348633,0.021611861884593964
Sphere.180,7.194890022277832,12.761727333068848,0.021611861884593964
Sphere.183,6.283167839050293,13.348905563354492,0.021611861884593964
Sphere.186,5.3366804122924805,13.87724494934082,0.021611861884593964
Sphere.189,4.295474052429199,14.165663719177246,0.021611861884593964
Sphere.192,3.218050718307495,14.087215423583984,0.021611861884593964
Sphere.195,2.1426970958709717,13.949734687805176,0.021611861884593964
Sphere.198,1.064976453781128,13.828056335449219,0.021611861884593964
Sphere.201,-0.013177156448364258,13.710463523864746,0.021611861884593964
Sphere.204,-1.0784428119659424,13.511775970458984,0.021611861884593964
Sphere.207,-2.053603410720825,13.049630165100098,0.021611861884593964
Sphere.210,-2.9758121967315674,12.478907585144043,0.021611861884593964
Sphere.213,-3.8702802658081055,11.865811347961426,0.021611861884593964
Sphere.216,-4.720637321472168,11.193358421325684,0.021611861884593964
Sphere.219,-5.484034538269043,10.423227310180664,0.021611861884593964
Sphere.222,-6.376400947570801,9.815741539001465,0.021611861884593964
Sphere.225,-7.411612510681152,9.496161460876465,0.021611861884593964
Sphere.228,-8.451248168945312,9.187272071838379,0.021611861884593964
Sphere.231,-9.488456726074219,8.870271682739258,0.021611861884593964
Sphere.234,-10.529703140258789,8.566930770874023,0.021611861884593964
Sphere.237,-11.541955947875977,8.221240997314453,0.021611861884593964
Sphere.240,-11.95016098022461,7.228864669799805,0.021611861884593964
Sphere.243,-12.249195098876953,6.187061309814453,0.021611861884593964
Sphere.246,-12.828470230102539,5.292070388793945,0.021611861884593964
Sphere.249,-13.878978729248047,5.063846588134766,0.021611861884593964
Sphere.252,-14.85041618347168,5.415416240692139,0.021611861884593964
Sphere.255,-15.376863479614258,6.360899925231934,0.021611861884593964
Sphere.258,-15.873123168945312,7.325202941894531,0.021611861884593964
Sphere.261,-16.25722885131836,8.338252067565918,0.021611861884593964
Sphere.264,-16.678421020507812,9.335564613342285,0.021611861884593964
Sphere.267,-17.4776611328125,10.012621879577637,0.021611861884593964
Sphere.270,-18.53879737854004,9.8411226272583,0.021611861884593964
Sphere.273,-19.58458137512207,9.555986404418945,0.021611861884593964
Sphere.276,-20.662851333618164,9.4579439163208,0.021611861884593964
Sphere.279,-21.745023727416992,9.519148826599121,0.021611861884593964
Sphere.282,-22.71857261657715,9.894706726074219,0.021611861884593964
Sphere.285,-22.72679901123047,10.96780776977539,0.021611861884593964
Sphere.288,-22.771547317504883,12.049192428588867,0.021611861884593964
Sphere.291,-22.85167694091797,13.130396842956543,0.021611861884593964
Sphere.294,-22.807937622070312,14.21342945098877,0.021611861884593964
Sphere.297,-22.59896469116211,15.275260925292969,0.021611861884593964
Sphere.300,-21.917922973632812,16.06212043762207,0.021611861884593964
